epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,329.479,2.51228,3.80919,2.42389,0.04854,0.05517,0.0246,0.01086,3.44402,6.34294,3.68813,0.00332887,0.00332887,0.0700402
2,606.154,2.45945,3.68812,2.41261,0.26857,0.06633,0.03603,0.01559,2.62301,4.09066,2.6222,0.00653029,0.00653029,0.0399082
3,741.557,2.39167,3.54334,2.3504,0.13098,0.13157,0.08418,0.03216,2.58098,3.66179,2.55606,0.00959971,0.00959971,0.00964434
4,875.384,2.32998,3.4266,2.29774,0.33348,0.08475,0.05788,0.02492,2.44403,4.23159,2.45331,0.009406,0.009406,0.009406
5,1013.43,2.27861,3.36671,2.26306,0.47896,0.07449,0.05855,0.02357,2.52363,4.24804,2.52107,0.009208,0.009208,0.009208
6,1162.75,2.2477,3.30959,2.24943,0.51051,0.11927,0.06253,0.02648,2.45949,3.55083,2.49669,0.00901,0.00901,0.00901
7,1307.37,2.23514,3.26469,2.23066,0.14166,0.11293,0.08426,0.03529,2.37085,3.10247,2.32673,0.008812,0.008812,0.008812
8,1478.08,2.21051,3.20715,2.22102,0.55884,0.12089,0.10094,0.0425,2.37374,3.0075,2.4008,0.008614,0.008614,0.008614
9,1647.23,2.19605,3.15889,2.2011,0.53517,0.15075,0.10121,0.04317,2.30234,3.43459,2.29685,0.008416,0.008416,0.008416
10,1821.87,2.17228,3.12248,2.20207,0.55557,0.14992,0.11269,0.04742,2.28893,3.04405,2.311,0.008218,0.008218,0.008218
11,1976.28,2.15726,3.06048,2.17847,0.56243,0.16311,0.11092,0.04761,2.28985,2.97119,2.29717,0.00802,0.00802,0.00802
12,2125.78,2.14196,3.03691,2.16387,0.34395,0.16461,0.107,0.04721,2.24225,2.9678,2.28573,0.007822,0.007822,0.007822
13,2265.75,2.13143,3.01818,2.16641,0.55489,0.13421,0.10061,0.04158,2.29828,2.9693,2.35868,0.007624,0.007624,0.007624
14,2408.8,2.11576,2.98061,2.13806,0.55692,0.16166,0.11623,0.04812,2.20318,2.9802,2.24753,0.007426,0.007426,0.007426
15,2552.66,2.10428,2.94129,2.13904,0.57926,0.14897,0.12871,0.04608,2.26422,2.86693,2.30539,0.007228,0.007228,0.007228
16,2692.97,2.10442,2.92963,2.13211,0.55445,0.15983,0.12498,0.05558,2.21495,2.87375,2.28017,0.00703,0.00703,0.00703
17,2832.64,2.0864,2.89127,2.11385,0.63559,0.18347,0.15552,0.07119,2.16172,2.7156,2.19981,0.006832,0.006832,0.006832
18,2972.64,2.08316,2.86129,2.12125,0.60477,0.17965,0.16828,0.06997,2.14918,2.62873,2.23842,0.006634,0.006634,0.006634
19,3112.02,2.07312,2.85592,2.12308,0.42902,0.23539,0.17397,0.07276,2.14366,2.78161,2.21473,0.006436,0.006436,0.006436
20,3252.89,2.06791,2.82002,2.10758,0.37488,0.21853,0.16214,0.06987,2.17747,2.54269,2.20969,0.006238,0.006238,0.006238
21,3399.2,2.0587,2.79031,2.10123,0.64827,0.18491,0.17153,0.07249,2.12602,2.59378,2.17843,0.00604,0.00604,0.00604
22,3568.68,2.05098,2.78086,2.09528,0.65158,0.20523,0.20904,0.09445,2.11316,2.55501,2.16364,0.005842,0.005842,0.005842
23,3750.61,2.04706,2.75839,2.08566,0.49024,0.26328,0.22114,0.09895,2.09052,2.64929,2.17345,0.005644,0.005644,0.005644
24,3927.03,2.02918,2.71817,2.07567,0.63465,0.24547,0.21734,0.09441,2.11458,2.6995,2.18621,0.005446,0.005446,0.005446
25,4110.3,2.02549,2.67946,2.07427,0.50102,0.25142,0.20524,0.09625,2.09221,2.5608,2.14214,0.005248,0.005248,0.005248
26,4287.79,2.02521,2.66272,2.06855,0.46536,0.26176,0.20818,0.09177,2.08249,2.41079,2.13633,0.00505,0.00505,0.00505
27,4463.87,2.01306,2.64023,2.06281,0.51056,0.26953,0.25168,0.11847,2.05959,2.42517,2.1105,0.004852,0.004852,0.004852
28,4640.97,2.005,2.59545,2.03553,0.58488,0.26622,0.2457,0.11357,2.06343,2.36515,2.11402,0.004654,0.004654,0.004654
29,4816.35,1.9944,2.58242,2.03176,0.4811,0.26842,0.23303,0.10504,2.02473,2.39619,2.09771,0.004456,0.004456,0.004456
30,4974.43,1.98731,2.5777,2.03124,0.53188,0.27648,0.26688,0.11955,2.03031,2.31947,2.11903,0.004258,0.004258,0.004258
31,5293.88,1.98178,2.54454,2.01949,0.46236,0.29134,0.24173,0.10591,2.01522,2.45904,2.08773,0.00406,0.00406,0.00406
32,5463.22,1.97205,2.52081,2.01249,0.60268,0.31471,0.30563,0.14167,2.02112,2.30656,2.09307,0.003862,0.003862,0.003862
33,5681.3,1.96928,2.50982,2.00966,0.5396,0.33466,0.31164,0.14044,2.02496,2.3153,2.0861,0.003664,0.003664,0.003664
34,5939.15,1.96555,2.48028,1.99922,0.52139,0.30171,0.28736,0.13215,1.99507,2.25188,2.07439,0.003466,0.003466,0.003466
35,6294.13,1.95506,2.45139,1.99356,0.6293,0.28888,0.31107,0.14062,2.00442,2.29702,2.08345,0.003268,0.003268,0.003268
36,6845,1.94928,2.44491,1.98964,0.55588,0.33717,0.3015,0.13789,1.9862,2.255,2.0515,0.00307,0.00307,0.00307
37,7481.81,1.93734,2.42717,1.97609,0.56683,0.32595,0.31711,0.15082,1.95451,2.24182,2.03297,0.002872,0.002872,0.002872
