epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.218,3.40548,3.41772,4.16194,0.02549,0.03226,0.00945,0.00183,3.29741,3.59617,4.15077,0.00331502,0.00331502,0.0701648
1,302.482,3.40548,3.41772,4.16194,0.02549,0.03226,0.00945,0.00183,3.29741,3.59617,4.15077,0.00331502,0.00331502,0.0701648
2,565.771,3.26638,3.06179,3.85149,0.08366,0.16129,0.04362,0.00992,2.93467,4.52097,4.08437,0.00651671,0.00651671,0.0400332
2,595.081,3.26638,3.06179,3.85149,0.08366,0.16129,0.04362,0.00992,2.93467,4.52097,4.08437,0.00651671,0.00651671,0.0400332
3,857.607,2.97148,2.79457,3.48334,0.1381,0.16129,0.07475,0.01847,2.96266,3.97674,3.54772,0.00958641,0.00958641,0.00976956
3,886.116,2.97148,2.79457,3.48334,0.1381,0.16129,0.07475,0.01847,2.96266,3.97674,3.54772,0.00958641,0.00958641,0.00976956
4,1144.89,2.6301,2.5589,3.17492,0.1633,0.16532,0.08949,0.0247,2.68229,3.91432,3.35733,0.009406,0.009406,0.009406
4,1169.05,2.6301,2.5589,3.17492,0.1633,0.16532,0.08949,0.0247,2.68229,3.91432,3.35733,0.009406,0.009406,0.009406
5,1433.88,2.38226,2.38127,2.91371,0.38883,0.38508,0.27904,0.10767,2.19161,2.38955,2.96405,0.009208,0.009208,0.009208
5,1451.04,2.38226,2.38127,2.91371,0.38883,0.38508,0.27904,0.10767,2.19161,2.38955,2.96405,0.009208,0.009208,0.009208
6,1710.88,2.17596,2.18432,2.72467,0.41929,0.36694,0.35259,0.13419,2.0839,2.33259,2.86031,0.00901,0.00901,0.00901
6,1718.82,2.17596,2.18432,2.72467,0.41929,0.36694,0.35259,0.13419,2.0839,2.33259,2.86031,0.00901,0.00901,0.00901
7,1987.72,2.04475,2.02572,2.58465,0.54785,0.49597,0.51058,0.19838,2.03112,2.0214,2.7803,0.008812,0.008812,0.008812
7,1995.61,2.04475,2.02572,2.58465,0.54785,0.49597,0.51058,0.19838,2.03112,2.0214,2.7803,0.008812,0.008812,0.008812
8,2261.73,1.9391,1.92638,2.47393,0.58729,0.56805,0.55077,0.24388,1.89996,1.83659,2.66651,0.008614,0.008614,0.008614
8,2261.28,1.9391,1.92638,2.47393,0.58729,0.56805,0.55077,0.24388,1.89996,1.83659,2.66651,0.008614,0.008614,0.008614
9,2539.77,1.87244,1.86469,2.38142,0.65798,0.55465,0.61246,0.27574,1.8521,1.84117,2.59746,0.008416,0.008416,0.008416
9,2539.57,1.87244,1.86469,2.38142,0.65798,0.55465,0.61246,0.27574,1.8521,1.84117,2.59746,0.008416,0.008416,0.008416
10,2805.54,1.8131,1.78648,2.31856,0.62172,0.53831,0.59637,0.27095,1.77644,1.80553,2.49031,0.008218,0.008218,0.008218
10,2804.28,1.8131,1.78648,2.31856,0.62172,0.53831,0.59637,0.27095,1.77644,1.80553,2.49031,0.008218,0.008218,0.008218
11,3070.81,1.76155,1.70385,2.26014,0.69751,0.59677,0.64416,0.32264,1.68013,1.69114,2.43072,0.00802,0.00802,0.00802
11,3067.83,1.76155,1.70385,2.26014,0.69751,0.59677,0.64416,0.32264,1.68013,1.69114,2.43072,0.00802,0.00802,0.00802
12,3347.92,1.73374,1.64799,2.20701,0.68685,0.5572,0.63307,0.31836,1.71773,1.71407,2.45413,0.007822,0.007822,0.007822
12,3347.59,1.73374,1.64799,2.20701,0.68685,0.5572,0.63307,0.31836,1.71773,1.71407,2.45413,0.007822,0.007822,0.007822
13,3631.31,1.70609,1.61913,2.19878,0.87298,0.66511,0.78967,0.42229,1.53656,1.34241,2.23766,0.007624,0.007624,0.007624
13,3632.47,1.70609,1.61913,2.19878,0.87298,0.66511,0.78967,0.42229,1.53656,1.34241,2.23766,0.007624,0.007624,0.007624
14,3918.31,1.65001,1.54775,2.12893,0.83286,0.69758,0.79313,0.42236,1.56049,1.35024,2.23832,0.007426,0.007426,0.007426
14,3919.5,1.65001,1.54775,2.12893,0.83286,0.69758,0.79313,0.42236,1.56049,1.35024,2.23832,0.007426,0.007426,0.007426
15,4195.88,1.64336,1.54157,2.13188,0.79875,0.72581,0.79909,0.43863,1.46333,1.29564,2.14784,0.007228,0.007228,0.007228
15,4191.22,1.64336,1.54157,2.13188,0.79875,0.72581,0.79909,0.43863,1.46333,1.29564,2.14784,0.007228,0.007228,0.007228
16,4465.49,1.62513,1.51757,2.10953,0.82099,0.67944,0.79486,0.42108,1.52318,1.29752,2.1982,0.00703,0.00703,0.00703
16,4457.62,1.62513,1.51757,2.10953,0.82099,0.67944,0.79486,0.42108,1.52318,1.29752,2.1982,0.00703,0.00703,0.00703
17,4730.45,1.57972,1.42359,2.04728,0.80795,0.72177,0.79971,0.42978,1.51183,1.22997,2.19669,0.006832,0.006832,0.006832
17,4720.21,1.57972,1.42359,2.04728,0.80795,0.72177,0.79971,0.42978,1.51183,1.22997,2.19669,0.006832,0.006832,0.006832
18,4995.81,1.57182,1.47788,2.06537,0.84313,0.67742,0.79569,0.4385,1.45438,1.32618,2.1224,0.006634,0.006634,0.006634
18,4984.89,1.57182,1.47788,2.06537,0.84313,0.67742,0.79569,0.4385,1.45438,1.32618,2.1224,0.006634,0.006634,0.006634
19,5266.61,1.54761,1.41345,2.02473,0.85315,0.71447,0.83375,0.46997,1.45729,1.1812,2.09523,0.006436,0.006436,0.006436
19,5249.42,1.54761,1.41345,2.02473,0.85315,0.71447,0.83375,0.46997,1.45729,1.1812,2.09523,0.006436,0.006436,0.006436
20,5533.4,1.55693,1.4219,2.03293,0.83308,0.7949,0.85614,0.49161,1.38806,1.13301,2.04863,0.006238,0.006238,0.006238
20,5510.8,1.55693,1.4219,2.03293,0.83308,0.7949,0.85614,0.49161,1.38806,1.13301,2.04863,0.006238,0.006238,0.006238
21,5799.6,1.52633,1.37443,1.9884,0.88598,0.78024,0.86188,0.51232,1.39735,1.04637,2.04983,0.00604,0.00604,0.00604
21,5775.58,1.52633,1.37443,1.9884,0.88598,0.78024,0.86188,0.51232,1.39735,1.04637,2.04983,0.00604,0.00604,0.00604
22,6063.68,1.50424,1.31708,1.97141,0.8445,0.75202,0.8231,0.44908,1.4449,1.19427,2.08872,0.005842,0.005842,0.005842
22,6039.23,1.50424,1.31708,1.97141,0.8445,0.75202,0.8231,0.44908,1.4449,1.19427,2.08872,0.005842,0.005842,0.005842
23,6325.11,1.49289,1.2999,1.97499,0.82904,0.79637,0.8595,0.51474,1.40339,1.02535,2.05252,0.005644,0.005644,0.005644
23,6299.59,1.49289,1.2999,1.97499,0.82904,0.79637,0.8595,0.51474,1.40339,1.02535,2.05252,0.005644,0.005644,0.005644
24,6589.1,1.47699,1.30115,1.96533,0.85632,0.82056,0.88104,0.53109,1.37237,0.97441,2.00733,0.005446,0.005446,0.005446
24,6563.8,1.47699,1.30115,1.96533,0.85632,0.82056,0.88104,0.53109,1.37237,0.97441,2.00733,0.005446,0.005446,0.005446
25,6853.3,1.45088,1.24373,1.9355,0.81844,0.81793,0.86267,0.5332,1.33554,1.03088,1.97132,0.005248,0.005248,0.005248
25,6826,1.45088,1.24373,1.9355,0.81844,0.81793,0.86267,0.5332,1.33554,1.03088,1.97132,0.005248,0.005248,0.005248
26,7118.03,1.42338,1.22729,1.90552,0.8995,0.79395,0.88354,0.5202,1.35858,0.98006,1.98215,0.00505,0.00505,0.00505
26,7091,1.42338,1.22729,1.90552,0.8995,0.79395,0.88354,0.5202,1.35858,0.98006,1.98215,0.00505,0.00505,0.00505
27,7381.97,1.42386,1.23818,1.91614,0.90172,0.79543,0.89358,0.55042,1.33281,0.9363,1.98567,0.004852,0.004852,0.004852
27,7351.62,1.42386,1.23818,1.91614,0.90172,0.79543,0.89358,0.55042,1.33281,0.9363,1.98567,0.004852,0.004852,0.004852
28,7646.55,1.43683,1.23242,1.90473,0.84236,0.79637,0.8644,0.52543,1.32184,1.00596,1.94578,0.004654,0.004654,0.004654
28,7614.9,1.43683,1.23242,1.90473,0.84236,0.79637,0.8644,0.52543,1.32184,1.00596,1.94578,0.004654,0.004654,0.004654
29,7951.29,1.40804,1.18117,1.88722,0.91602,0.82258,0.89818,0.53856,1.35524,0.91127,1.96511,0.004456,0.004456,0.004456
29,7932.73,1.40804,1.18117,1.88722,0.91602,0.82258,0.89818,0.53856,1.35524,0.91127,1.96511,0.004456,0.004456,0.004456
